2021-06-30 00:01:22.037: (173ms) 100% TIMER > Flying: 0, position: 11, look: 0, positionLook: 28, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.418183771210465, 19.601507998008046, 19.704373768302286]
2021-06-30 00:01:24.577: (173ms) 100% TIMER > Flying: 0, position: 2, look: 3, positionLook: 46, sum: 43.0, median: 40. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:26.721: (228ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 29, sum: 44.0, median: 42. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:28.486: (228ms) 100% TIMER > Flying: 0, position: 10, look: 0, positionLook: 26, sum: 41.0, median: 40. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:30.248: (228ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 30, sum: 40.0, median: 39. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:31.927: (228ms) 100% TIMER > Flying: 0, position: 4, look: 6, positionLook: 24, sum: 39.0, median: 36. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:33.206: (228ms) 100% TIMER > Flying: 0, position: 4, look: 1, positionLook: 13, sum: 33.0, median: 35. Player version: V1_16. TPS: [17.12839954239841, 19.287691749276416, 19.59804458100766]
2021-06-30 00:01:34.351: (228ms) 100% TIMER > Flying: 0, position: 12, look: 2, positionLook: 7, sum: 28.0, median: 34. Player version: V1_16. TPS: [17.12839954239841, 19.287691749276416, 19.59804458100766]
2021-06-30 00:01:35.821: (228ms) 100% TIMER > Flying: 0, position: 8, look: 0, positionLook: 22, sum: 27.0, median: 30. Player version: V1_16. TPS: [17.12839954239841, 19.287691749276416, 19.59804458100766]
2021-06-30 00:01:40.288: (228ms) 100% TIMER > Flying: 0, position: 15, look: 0, positionLook: 15, sum: 28.0, median: 30. Player version: V1_16. TPS: [16.9217639426429, 19.209444835413354, 19.570255335812117]
2021-06-30 00:01:41.796: (228ms) 100% TIMER > Flying: 0, position: 12, look: 0, positionLook: 18, sum: 29.0, median: 30. Player version: V1_16. TPS: [16.9217639426429, 19.209444835413354, 19.570255335812117]
2021-06-30 00:01:43.613: (228ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 24, sum: 31.0, median: 30. Player version: V1_16. TPS: [16.9217639426429, 19.209444835413354, 19.570255335812117]
2021-06-30 00:01:45.2: (228ms) 100% TIMER > Flying: 0, position: 1, look: 2, positionLook: 27, sum: 32.0, median: 30. Player version: V1_16. TPS: [16.9217639426429, 19.209444835413354, 19.570255335812117]
2021-06-30 00:01:47.412: (228ms) 100% TIMER > Flying: 0, position: 6, look: 14, positionLook: 21, sum: 33.0, median: 30. Player version: V1_16. TPS: [16.9217639426429, 19.209444835413354, 19.570255335812117]
2021-06-30 00:01:49.008: (228ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 27, sum: 33.0, median: 31. Player version: V1_16. TPS: [16.496851342266883, 19.084059876855086, 19.526475891873837]
2021-06-30 00:01:50.648: (228ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 30, sum: 34.0, median: 33. Player version: V1_16. TPS: [16.496851342266883, 19.084059876855086, 19.526475891873837]
2021-06-30 00:01:52.204: (211ms) 100% TIMER > Flying: 0, position: 4, look: 17, positionLook: 10, sum: 33.0, median: 31. Player version: V1_16. TPS: [16.496851342266883, 19.084059876855086, 19.526475891873837]
2021-06-30 00:01:53.845: (211ms) 100% TIMER > Flying: 0, position: 4, look: 5, positionLook: 22, sum: 33.0, median: 31. Player version: V1_16. TPS: [16.496851342266883, 19.084059876855086, 19.526475891873837]
2021-06-30 00:01:55.956: (211ms) 100% TIMER > Flying: 0, position: 16, look: 0, positionLook: 26, sum: 33.0, median: 31. Player version: V1_16. TPS: [16.496851342266883, 19.084059876855086, 19.526475891873837]
2021-06-30 00:01:58.373: (211ms) 100% TIMER > Flying: 0, position: 7, look: 14, positionLook: 26, sum: 36.0, median: 33. Player version: V1_16. TPS: [16.113761705790576, 18.962358698511142, 19.483475544343253]
2021-06-30 00:02:00.096: (211ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 31, sum: 37.0, median: 34. Player version: V1_16. TPS: [16.113761705790576, 18.962358698511142, 19.483475544343253]
2021-06-30 00:02:01.952: (211ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 24, sum: 38.0, median: 37. Player version: V1_16. TPS: [16.113761705790576, 18.962358698511142, 19.483475544343253]
2021-06-30 00:02:03.852: (211ms) 100% TIMER > Flying: 0, position: 3, look: 10, positionLook: 25, sum: 39.0, median: 38. Player version: V1_16. TPS: [16.113761705790576, 18.962358698511142, 19.483475544343253]
2021-06-30 00:02:05.299: (211ms) 100% TIMER > Flying: 0, position: 9, look: 2, positionLook: 17, sum: 36.0, median: 37. Player version: V1_16. TPS: [16.113761705790576, 18.962358698511142, 19.483475544343253]
2021-06-30 00:02:47.259: (192ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 23, sum: 32.0, median: 34. Player version: V1_16. TPS: [16.03699912085545, 18.568353277682956, 19.32448160766225]
2021-06-30 00:02:48.422: (192ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 19, sum: 30.0, median: 28. Player version: V1_16. TPS: [16.03699912085545, 18.568353277682956, 19.32448160766225]
2021-06-30 00:02:49.946: (192ms) 100% TIMER > Flying: 0, position: 4, look: 6, positionLook: 18, sum: 28.0, median: 28. Player version: V1_16. TPS: [16.03699912085545, 18.568353277682956, 19.32448160766225]
2021-06-30 00:02:51.947: (192ms) 100% TIMER > Flying: 0, position: 6, look: 1, positionLook: 32, sum: 28.0, median: 28. Player version: V1_16. TPS: [16.03699912085545, 18.568353277682956, 19.32448160766225]
2021-06-30 00:02:53.681: (192ms) 100% TIMER > Flying: 0, position: 7, look: 3, positionLook: 25, sum: 30.0, median: 28. Player version: V1_16. TPS: [16.03699912085545, 18.568353277682956, 19.32448160766225]
2021-06-30 00:03:05.248: (192ms) 100% TIMER > Flying: 0, position: 2, look: 0, positionLook: 16, sum: 28.0, median: 28. Player version: V1_16. TPS: [16.292802707416296, 18.49308860082982, 19.286239749574545]
2021-06-30 00:03:06.679: (197ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 24, sum: 29.0, median: 29. Player version: V1_16. TPS: [16.292802707416296, 18.49308860082982, 19.286239749574545]
2021-06-30 00:03:07.562: (197ms) 100% TIMER > Flying: 0, position: 0, look: 0, positionLook: 18, sum: 27.0, median: 29. Player version: V1_16. TPS: [16.292802707416296, 18.49308860082982, 19.286239749574545]
2021-06-30 00:03:38.058: (187ms) 100% TIMER > Flying: 0, position: 2, look: 0, positionLook: 31, sum: 29.0, median: 28. Player version: V1_16. TPS: [16.90052572148005, 18.4559805621488, 19.251823016001797]
2021-06-30 00:03:39.188: (187ms) 100% TIMER > Flying: 0, position: 4, look: 4, positionLook: 11, sum: 27.0, median: 28. Player version: V1_16. TPS: [16.90052572148005, 18.4559805621488, 19.251823016001797]
