2023-01-29 09:05:55.654: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.027623081243573, walkTest: true, walkWithEss: true, y: 2.027623081243573, disDir: 12.567437187846872, disDirY: 4.11125535959168. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.706: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.039888279210134, walkTest: true, walkWithEss: true, y: 2.039888279210134, disDir: 12.519203984642694, disDirY: 4.161144191658881. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.755: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0512768010963343, walkTest: true, walkWithEss: true, y: 2.0512768010963343, disDir: 12.521232751809759, disDirY: 4.20773651471601. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.797: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0618253695566713, walkTest: true, walkWithEss: true, y: 2.0618253695566713, disDir: 12.551682657241845, disDirY: 4.2511238545475045. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.851: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0710519260738027, walkTest: true, walkWithEss: true, y: 2.0710519260738027, disDir: 12.595530659675614, disDirY: 4.289256080494008. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.904: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.077899826540866, walkTest: true, walkWithEss: true, y: 2.077899826540866, disDir: 12.640589949905479, disDirY: 4.3176676891385615. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.955: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.081968901281825, walkTest: true, walkWithEss: true, y: 2.081968901281825, disDir: 12.680484271449249, disDirY: 4.334594505904649. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:56.0: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0820733084308887, walkTest: true, walkWithEss: true, y: 2.0820733084308887, disDir: 12.70744649114014, disDirY: 4.335029261680346. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.055: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0792455624608257, walkTest: true, walkWithEss: true, y: 2.0792455624608257, disDir: 12.724114429590948, disDirY: 4.323262109013035. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.124: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0767868034768635, walkTest: true, walkWithEss: true, y: 2.0767868034768635, disDir: 12.774300300761633, disDirY: 4.313043427095649. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.203: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.075304021030975, walkTest: true, walkWithEss: true, y: 2.075304021030975, disDir: 12.797258370236815, disDirY: 4.306886779707335. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.214: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0758107012277027, walkTest: true, walkWithEss: true, y: 2.0758107012277027, disDir: 12.798539655887101, disDirY: 4.308990067331447. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.251: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.076002654499334, walkTest: true, walkWithEss: true, y: 2.076002654499334, disDir: 12.828766996877077, disDirY: 4.309787021488281. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.311: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.075169297990118, walkTest: true, walkWithEss: true, y: 2.075169297990118, disDir: 12.85438683277092, disDirY: 4.306327615320799. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.353: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0742438960254526, walkTest: true, walkWithEss: true, y: 2.0742438960254526, disDir: 12.879205707516267, disDirY: 4.302487740198849. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.402: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.074316924365701, walkTest: true, walkWithEss: true, y: 2.074316924365701, disDir: 12.90770870242212, disDirY: 4.302790702709982. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.452: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0753245677426055, walkTest: true, walkWithEss: true, y: 2.0753245677426055, disDir: 12.939611819288082, disDirY: 4.306972061476033. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.508: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.077049027312705, walkTest: true, walkWithEss: true, y: 2.077049027312705, disDir: 17.720397761525746, disDirY: 4.314132661860655. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.573: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.077414141649438, walkTest: true, walkWithEss: true, y: 2.077414141649438, disDir: 9.302257409280756, disDirY: 4.315649515925072. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.619: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.077767286068247, walkTest: true, walkWithEss: true, y: 2.077767286068247, disDir: 14.919461461329417, disDirY: 4.317116895055408. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.668: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.079218532462775, walkTest: true, walkWithEss: true, y: 2.079218532462775, disDir: 16.15950467669243, disDirY: 4.3231497057366575. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.701: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.081627001742819, walkTest: true, walkWithEss: true, y: 2.081627001742819, disDir: 16.92431041111512, disDirY: 4.333170974384798. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.773: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0849601494788836, walkTest: true, walkWithEss: true, y: 2.0849601494788836, disDir: 17.46231688698451, disDirY: 4.347058824915009. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.798: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.9930174586401228, walkTest: true, walkWithEss: true, y: 1.9930174586401228, disDir: 17.37049386544513, disDirY: 3.972118590444334. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.862: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.9095720744324802, walkTest: true, walkWithEss: true, y: 1.9095720744324802, disDir: 17.24584042486748, disDirY: 3.6464655074523655. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
2023-01-29 09:05:56.909: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.8336978152196728, walkTest: true, walkWithEss: true, y: 1.8336978152196728, disDir: 17.09447710427387, disDirY: 3.362447677541401. Player version: V1_18. TPS: [20.00001260034127, 19.999996651333895, 19.99999876924452]
