2022-05-16 18:01:16.163: (107ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.098000002240722, walkTest: true, walkWithEss: true, y: 2.098000002240722, disDir: 4.650006557852004, disDirY: 4.401604009402069. Player version: V1_18. TPS: [19.99765667192483, 10.639198146894516, 9.503773914108338]
2022-05-16 18:01:16.233: (107ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.6840497686479003, walkTest: true, walkWithEss: true, y: 1.6840497686479003, disDir: 3.153812162567454, disDirY: 2.8360236232830465. Player version: V1_18. TPS: [19.99765667192483, 10.639198146894516, 9.503773914108338]
2022-05-16 18:01:32.861: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.313900959845154, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:32.917: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.305532231006283, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:32.965: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.297494903516574, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:33.026: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.351943263633862, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:33.064: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.282362478349847, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:33.119: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.275242672199155, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:33.159: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.189891858670434, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:01:33.217: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.025479998421143, walkTest: true, walkWithEss: true, y: 2.025479998421143, disDir: 4.103720819358288, disDirY: 4.102569224004114. Player version: V1_18. TPS: [19.999991128337268, 11.158734195273368, 9.592220841679314]
2022-05-16 18:02:45.532: (120ms) 100% AIRJUMP > Actual diff Y: 1.3361803115105126, last diff Y: -0.0810246139190085. Down: AIR, Down Down: AIR, velY: -2.100815376691336. Player version: V1_18. TPS: [20.00168215146978, 14.0459278080261, 9.986127388292621]
2022-05-16 18:02:45.532: (120ms) 100% AIRJUMP > Was going down, lastY -0.0810246139190085, current: 1.3361803115105126. Down Down: AIR, velY: -2.100815376691336, diffY base: 1.531273735262836. Player version: V1_18. TPS: [20.00168215146978, 14.0459278080261, 9.986127388292621]
2022-05-16 18:12:05.567: (159ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000100967103, walkTest: true, walkWithEss: true, y: 2.1274000100967103, disDir: 4.53197736319874, disDirY: 4.525830802959483. Player version: V1_18. TPS: [19.986402236914525, 19.997286321252584, 16.549186704730136]
2022-05-16 18:12:05.626: (159ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127400014215388, walkTest: true, walkWithEss: true, y: 2.127400014215388, disDir: 4.531977380722891, disDirY: 4.525830820483633. Player version: V1_18. TPS: [19.986402236914525, 19.997286321252584, 16.549186704730136]
2022-05-16 18:45:43.635: (138ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127400015391708, walkTest: true, walkWithEss: true, y: 2.127400015391708, disDir: 4.9007068218893926, disDirY: 4.525830825488639. Player version: V1_18. TPS: [19.999991170670565, 20.000005456134822, 20.000001048622277]
2022-05-16 18:45:43.671: (138ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127400015391708, walkTest: true, walkWithEss: true, y: 2.127400015391708, disDir: 4.807341414613434, disDirY: 4.525830825488639. Player version: V1_18. TPS: [19.999991170670565, 20.000005456134822, 20.000001048622277]
2022-05-16 18:46:41.463: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127394140612382, walkTest: true, walkWithEss: true, y: 2.127394140612382, disDir: 4.5319523897511536, disDirY: 4.525805829511896. Player version: V1_18. TPS: [20.000085431364923, 20.000001293133415, 19.999999040422267]
2022-05-16 18:46:41.512: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273941576340487, walkTest: true, walkWithEss: true, y: 2.1273941576340487, disDir: 4.5319524621747425, disDirY: 4.525805901935485. Player version: V1_18. TPS: [20.000085431364923, 20.000001293133415, 19.999999040422267]
2022-05-16 18:46:41.561: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273941576340487, walkTest: true, walkWithEss: true, y: 2.1273941576340487, disDir: 4.5319524621747425, disDirY: 4.525805901935485. Player version: V1_18. TPS: [20.000085431364923, 20.000001293133415, 19.999999040422267]
2022-05-16 18:46:41.609: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273941576340487, walkTest: true, walkWithEss: true, y: 2.1273941576340487, disDir: 4.5319524621747425, disDirY: 4.525805901935485. Player version: V1_18. TPS: [20.000085431364923, 20.000001293133415, 19.999999040422267]
2022-05-16 18:46:44.42: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127398275865158, walkTest: true, walkWithEss: true, y: 2.127398275865158, disDir: 4.531969984393305, disDirY: 4.525823424154047. Player version: V1_18. TPS: [20.000060609183674, 19.999992519669465, 19.999997843689123]
2022-05-16 18:46:44.463: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127398405164157, walkTest: true, walkWithEss: true, y: 2.127398405164157, disDir: 4.531970534534256, disDirY: 4.525823974294998. Player version: V1_18. TPS: [20.000060609183674, 19.999992519669465, 19.999997843689123]
2022-05-16 18:46:44.512: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.327395960742945, walkTest: true, walkWithEss: true, y: 2.327395960742945, disDir: 5.665174506532511, disDirY: 5.416771958082576. Player version: V1_18. TPS: [20.000060609183674, 19.999992519669465, 19.999997843689123]
2022-05-16 18:46:44.564: (141ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127398435725701, walkTest: true, walkWithEss: true, y: 2.127398435725701, disDir: 4.764389921145768, disDirY: 4.5258241043281595. Player version: V1_18. TPS: [20.000060609183674, 19.999992519669465, 19.999997843689123]
2022-05-18 17:37:26.699: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000115803475, walkTest: true, walkWithEss: true, y: 2.1274000115803475, disDir: 4.70711680999819, disDirY: 4.525830809272063. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:37:26.741: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000115803475, walkTest: true, walkWithEss: true, y: 2.1274000115803475, disDir: 4.771511041296219, disDirY: 4.525830809272063. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:37:26.821: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000115803466, walkTest: true, walkWithEss: true, y: 2.1274000115803466, disDir: 4.531977369511317, disDirY: 4.525830809272059. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:37:26.823: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000115803466, walkTest: true, walkWithEss: true, y: 2.1274000115803466, disDir: 4.531977369511317, disDirY: 4.525830809272059. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:37:26.903: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000115803466, walkTest: true, walkWithEss: true, y: 2.1274000115803466, disDir: 4.531977369511317, disDirY: 4.525830809272059. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:37:26.956: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127400010856726, walkTest: true, walkWithEss: true, y: 2.127400010856726, disDir: 4.531977366432456, disDirY: 4.525830806193198. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:37:27.003: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000115667886, walkTest: true, walkWithEss: true, y: 2.1274000115667886, disDir: 4.53197736945363, disDirY: 4.525830809214372. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
