2022-05-18 17:39:40.604: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 13.943249574558827, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.637: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 13.570320143317675, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.655: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.327400006686881, walkTest: true, walkWithEss: true, y: 2.327400006686881, disDir: 19.321787741868963, disDirY: 5.416790791126094. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.706: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 17.880190395617994, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.752: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 17.35135825504161, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.801: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 16.8434678474622, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.847: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 16.35568988103593, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.896: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 15.887227903845007, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:40.952: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000104116966, walkTest: true, walkWithEss: true, y: 2.1274000104116966, disDir: 15.43731700343785, disDirY: 4.525830804299686. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
2022-05-18 17:39:41.003: (164ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127400011234849, walkTest: true, walkWithEss: true, y: 2.127400011234849, disDir: 15.005222561369703, disDirY: 4.525830807802035. Player version: V1_18. TPS: [20.000017123347995, 19.999997411467003, 20.000001591244573]
