2023-05-05 07:39:04.84: (79ms) 97% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.344480420110082, walkTest: true, walkWithEss: true, y: 1.344480420110082, disDir: 7.523854480649554, disDirY: 1.8076276000593827. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:04.884: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.4194368717553296, walkTest: true, walkWithEss: true, y: 1.4194368717553296, disDir: 8.132419455998145, disDirY: 2.014801032898556. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:04.95: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.4876573994056204, walkTest: true, walkWithEss: true, y: 1.4876573994056204, disDir: 8.662062781862272, disDirY: 2.2131245380062934. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:04.987: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.5497453766491596, walkTest: true, walkWithEss: true, y: 1.5497453766491596, disDir: 9.137726016567687, disDirY: 2.401710732445445. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:05.021: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.6062507761736668, walkTest: true, walkWithEss: true, y: 1.6062507761736668, disDir: 9.575294242569846, disDirY: 2.5800415559585073. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:05.076: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.6576746586947406, walkTest: true, walkWithEss: true, y: 1.6576746586947406, disDir: 9.984759289955084, disDirY: 2.7478852740787247. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:05.124: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.704363120624118, walkTest: true, walkWithEss: true, y: 1.704363120624118, disDir: 10.372028387708426, disDirY: 2.9048536469435824. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:05.175: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.7454454769106333, walkTest: true, walkWithEss: true, y: 1.7454454769106333, disDir: 10.736576078448824, disDirY: 3.046579912867788. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:05.221: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.780350440626331, walkTest: true, walkWithEss: true, y: 1.780350440626331, disDir: 11.07730979455921, disDirY: 3.1696476914383713. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
2023-05-05 07:39:05.279: (79ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.809166421102724, walkTest: true, walkWithEss: true, y: 1.809166421102724, disDir: 11.394647536289575, disDirY: 3.2730831392456388. Player version: V1_19. TPS: [20.002409788319007, 19.999993057469077, 20.00001250711893]
